__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],/uav/target_position/x,/uav/target_position/y,/uav/target_position/z
1777391625.059541,0.018034367,-0.105684884,-0.009189691,0.000020928,0.000018567,0.000065121,1.000000000,-7.541064262,-0.965514719,-9.991883278,0.011449184,0.011444594,0.026107946,0.772850454,-0.025953041,-0.045475263,0.632424533,0.000000000,14.000000000,1777391625054969.000000000,1777391625052469.000000000,0.459309876,-2.003010035,0.006828904,1.000000000,0.003084685,0.003148076,0.002063970,,,
1777391625.064509,0.017677141,-0.105486080,-0.010016028,0.000020890,0.000018517,0.000065086,1.000000000,-7.539959908,-0.970008254,-9.991902351,0.011240383,0.011235245,0.025881916,0.772852480,-0.025848709,-0.045565456,0.632419646,0.000000000,14.000000000,1777391625059969.000000000,1777391625054969.000000000,0.461664885,-2.001820803,0.006817602,1.000000000,0.003020278,0.003081919,0.002048599,,,
1777391625.071625,0.019250983,-0.103552230,-0.010416526,0.000020909,0.000018527,0.000065115,1.000000000,-7.535381317,-0.988974452,-9.991906166,0.011295673,0.011290809,0.025950260,0.772862554,-0.025436811,-0.045914374,0.632398963,0.000000000,14.000000000,1777391625067469.000000000,1777391625064969.000000000,0.471191734,-1.997661233,0.006815142,1.000000000,0.003036305,0.003099211,0.002052781,,,
1777391625.072107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.185717110,-3.907780443,-9.985322952
1777391625.074454,0.019126844,-0.103855059,-0.009336632,0.000020928,0.000018538,0.000065144,1.000000000,-7.531911850,-1.002966404,-9.991929054,0.011351377,0.011346797,0.025964191,0.772868037,-0.025126033,-0.046174649,0.632385552,0.000000000,14.000000000,1777391625074969.000000000,1777391625072469.000000000,0.478314698,-1.994335771,0.006837924,1.000000000,0.003052400,0.003116574,0.002055270,,,
1777391625.080112,0.019474158,-0.102580920,-0.009452945,0.000020942,0.000018546,0.000065164,1.000000000,-7.530758858,-1.007463217,-9.991953850,0.011388740,0.011384360,0.026009945,0.772869587,-0.025022028,-0.046260718,0.632381558,0.000000000,14.000000000,1777391625079969.000000000,1777391625074969.000000000,0.480675757,-1.993121386,0.006829125,1.000000000,0.003063665,0.003128682,0.002058567,,,
1777391625.084617,0.018974243,-0.102314584,-0.010265545,0.000020956,0.000018554,0.000065185,1.000000000,-7.528383732,-1.016910076,-9.991963387,0.011426289,0.011422112,0.026055804,0.772874594,-0.024819128,-0.046430964,0.632371068,0.000000000,14.000000000,1777391625084969.000000000,1777391625079969.000000000,0.485446721,-1.990970612,0.006824899,1.000000000,0.003074964,0.003140829,0.002061867,,,
1777391625.091758,0.019017939,-0.102583326,-0.010181518,0.000020961,0.000018557,0.000065194,1.000000000,-7.525988579,-1.026390910,-9.991967201,0.011445137,0.011441065,0.026078772,0.772879362,-0.024615550,-0.046601750,0.632360697,0.000000000,14.000000000,1777391625087469.000000000,1777391625084969.000000000,0.490240097,-1.988791943,0.006840243,1.000000000,0.003079864,0.003146154,0.002062751,,,
1777391625.092089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.142702977,-3.897701125,-9.985322952
1777391625.094348,0.019792069,-0.101382345,-0.009996332,0.000020929,0.000018510,0.000065168,1.000000000,-7.522372246,-1.040245175,-9.991999626,0.011254950,0.011250352,0.025876023,0.772885025,-0.024307750,-0.046854239,0.632346928,0.000000000,14.000000000,1777391625094969.000000000,1777391625092469.000000000,0.497359484,-1.985278726,0.006836212,1.000000000,0.003020500,0.003085321,0.002048293,,,
1777391625.099467,0.018558366,-0.100505456,-0.010230867,0.000020943,0.000018518,0.000065189,1.000000000,-7.521170139,-1.044683695,-9.992025375,0.011291819,0.011287422,0.025921557,0.772886813,-0.024205931,-0.046939190,0.632342279,0.000000000,14.000000000,1777391625099969.000000000,1777391625094969.000000000,0.499715596,-1.983969569,0.006813855,1.000000000,0.003031706,0.003097355,0.002051590,,,
1777391625.104613,0.017802447,-0.099500172,-0.009693554,0.000020957,0.000018526,0.000065209,1.000000000,-7.518698215,-1.054047465,-9.992036819,0.011328869,0.011324679,0.025967196,0.772890747,-0.024009531,-0.047105942,0.632332742,0.000000000,14.000000000,1777391625104969.000000000,1777391625099969.000000000,0.504483342,-1.981633663,0.006812633,1.000000000,0.003042939,0.003109420,0.002054888,,,
1777391625.111623,0.018705962,-0.098623872,-0.010245499,0.000020962,0.000018528,0.000065218,1.000000000,-7.516206264,-1.063448310,-9.992040634,0.011347468,0.011343383,0.025990054,0.772895396,-0.023812510,-0.047269698,0.632322133,0.000000000,14.000000000,1777391625107469.000000000,1777391625104969.000000000,0.509234309,-1.979337454,0.006800445,1.000000000,0.003047794,0.003114693,0.002055770,,,
1777391625.112102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.099438897,-3.886851629,-9.985322952
1777391625.114664,0.019129178,-0.097334363,-0.010166057,0.000020981,0.000018539,0.000065247,1.000000000,-7.512446404,-1.077282429,-9.992068291,0.011403532,0.011399773,0.026058787,0.772902668,-0.023516526,-0.047512241,0.632306159,0.000000000,14.000000000,1777391625114969.000000000,1777391625112469.000000000,0.516339004,-1.975688815,0.006806517,1.000000000,0.003063947,0.003132097,0.002059951,,,
1777391625.120205,0.018489564,-0.097350396,-0.010471364,0.000020995,0.000018547,0.000065268,1.000000000,-7.511196613,-1.081722617,-9.992091179,0.011441137,0.011437603,0.026104739,0.772904634,-0.023417439,-0.047594063,0.632301152,0.000000000,14.000000000,1777391625119969.000000000,1777391625114969.000000000,0.518680334,-1.974356890,0.006797344,1.000000000,0.003075270,0.003144260,0.002063250,,,
1777391625.124771,0.018455362,-0.097821839,-0.010698785,0.000020958,0.000018494,0.000065072,1.000000000,-7.508632183,-1.090992570,-9.992107391,0.011232752,0.011228330,0.025878770,0.772910178,-0.023222499,-0.047756456,0.632289529,0.000000000,14.000000000,1777391625124969.000000000,1777391625119969.000000000,0.523390889,-1.971918702,0.006778307,1.000000000,0.003011204,0.003077708,0.002047891,,,
1777391625.131583,0.019204432,-0.098168619,-0.009945046,0.000020963,0.000018497,0.000065081,1.000000000,-7.506047726,-1.100303650,-9.992116928,0.011251104,0.011246786,0.025901519,0.772914112,-0.023024892,-0.047918703,0.632279575,0.000000000,14.000000000,1777391625127469.000000000,1777391625124969.000000000,0.528127372,-1.969504118,0.006758185,1.000000000,0.003016030,0.003082939,0.002048772,,,
1777391625.132100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.055926989,-3.875234083,-9.985322952
1777391625.134439,0.018307548,-0.098172553,-0.011352804,0.000020983,0.000018507,0.000065110,1.000000000,-7.502151012,-1.113981605,-9.992155075,0.011306425,0.011302431,0.025915477,0.772922516,-0.022729345,-0.048165262,0.632261395,0.000000000,14.000000000,1777391625134969.000000000,1777391625132469.000000000,0.535114408,-1.965727806,0.006751539,1.000000000,0.003032080,0.003100209,0.002051266,,,
