__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],/model/payload_ball/pose/header/header/stamp,/model/payload_ball/pose/pose/orientation/pitch,/model/payload_ball/pose/pose/orientation/roll,/model/payload_ball/pose/pose/orientation/w,/model/payload_ball/pose/pose/orientation/x,/model/payload_ball/pose/pose/orientation/y,/model/payload_ball/pose/pose/orientation/yaw,/model/payload_ball/pose/pose/orientation/z,/model/payload_ball/pose/pose/position/x,/model/payload_ball/pose/pose/position/y,/model/payload_ball/pose/pose/position/z,/uav/target_position/x,/uav/target_position/y,/uav/target_position/z
1777445871.398998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.435000000,1.254715300,-0.117873940,0.808910800,-0.024502098,0.587414736,-0.079023285,0.002625395,3.826493097,-5.712157846,10.103280593,,,
1777445871.400439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.569626244,2.471191888,-9.995555878
1777445871.401761,-0.009016158,0.005056791,0.001761110,0.000025156,0.000016302,0.000419854,1.000000000,-5.828362942,3.729740858,-9.988689423,0.011320129,0.011259273,0.026246425,0.707219005,-0.023130296,0.018585518,0.706371665,0.000000000,14.000000000,1777445871358849.000000000,1777445871358849.000000000,-1.055829167,-0.157006681,-0.007467982,1.000000000,0.003467405,0.003031715,0.002110970,,,,,,,,,,,,,,
1777445871.403937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.440000000,1.254691763,-0.117950571,0.808916838,-0.024509551,0.587406163,-0.079106102,0.002613572,3.826116823,-5.717498342,10.103231621,,,
1777445871.404129,-0.009634675,0.005095076,0.001456453,0.000025168,0.000016311,0.000419886,1.000000000,-5.831001282,3.729408264,-9.988676071,0.011358743,0.011296180,0.026293572,0.707221031,-0.023143215,0.018581357,0.706369340,0.000000000,14.000000000,1777445871361349.000000000,1777445871361349.000000000,-1.055245042,-0.158568934,-0.007477348,1.000000000,0.003481834,0.003043517,0.002114452,,,,,,,,,,,,,,
1777445871.409243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.445000000,1.254667877,-0.118031027,0.808922935,-0.024517424,0.587397492,-0.079192798,0.002601291,3.825724984,-5.722833535,10.103182670,,,
1777445871.409554,-0.009809865,0.004692356,0.002435948,0.000025180,0.000016320,0.000419919,1.000000000,-5.836278915,3.728670359,-9.988676071,0.011397569,0.011333274,0.026340831,0.707219362,-0.023168672,0.018572288,0.706370413,0.000000000,14.000000000,1777445871366349.000000000,1777445871366349.000000000,-1.054070830,-0.161731452,-0.007504641,1.000000000,0.003496295,0.003055359,0.002117936,,,,,,,,,,,,,,
1777445871.414177,-0.009662719,0.004055499,0.002873094,0.000025184,0.000016323,0.000419933,1.000000000,-5.841555595,3.727914572,-9.988683701,0.011417069,0.011351895,0.026364503,0.707217157,-0.023192722,0.018562367,0.706372023,0.000000000,14.000000000,1777445871371349.000000000,1777445871371349.000000000,-1.052930593,-0.164887398,-0.007558658,1.000000000,0.003502790,0.003060523,0.002118912,,,,,,,,,,,,,,
1777445871.414393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.450000000,1.254643722,-0.118115088,0.808929070,-0.024525694,0.587388754,-0.079283146,0.002588580,3.825317577,-5.728163420,10.103133748,,,
1777445871.419039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.455000000,1.254619374,-0.118202455,0.808935224,-0.024534326,0.587379976,-0.079376838,0.002575479,3.824894597,-5.733487990,10.103084859,,,
